Offense_Description,Report_Date,Full_Address
Theft: All Other Larceny,06/09/2014 12:00:00 AM,2223 WATERLOO CITY LN                                                                               Austin TX 78741
Theft,25-Aug-16,5017 W US 290 HWY EB                                                                                Austin TX 78749
Theft,21-Mar-15,310 W 2ND ST                                                                                        Austin TX 78701
Robbery,10-Sep-16,6105 TECHNI CENTER DR                                                                               Austin TX 78721
Theft: All Other Larceny,07/13/2014 12:00:00 AM,712 PEDERNALES ST                                                                                   Austin TX 78702
Theft,23-Feb-15,1701 SMITH RD                                                                                       Austin TX 78721
Theft,10-Jun-16,1000 E 41ST ST                                                                                      Austin TX 78751
Theft,24-Dec-15,W 4TH ST / GUADALUPE ST                                                                             Austin TX 78701
Theft,11-Aug-16,305 E YAGER LN                                                                                      Austin TX 78753
Theft,5-Jun-15,2400 NUECES ST                                                                                      Austin TX 78705
Theft,10-Nov-16,1807 ANITA DR                                                                                       Austin TX 78704
Theft: Auto Theft,27-Oct-16,628 E OLTORF ST                                                                                     Austin TX 78704
Theft,18-Jun-15,10402 GOLDEN QUAIL DR                                                                               Austin TX 78758
Theft: BOV,04/18/2014 12:00:00 AM,4401 CLARNO DR                                                                                      Austin TX 78749
Agg Assault,18-Mar-16,12314 DELLREY DR                                                                                    Austin TX 78758
Burglary: Breaking & Entering,07/23/2014 12:00:00 AM,5507 BURGUNDY DR                                                                                    Austin TX 78724
Aggravated Assault,12/29/2014 12:00:00 AM,6812 SUNDERLAND TRL                                                                                 Austin TX 78747
Theft,10-Jan-16,8220 RESEARCH BLVD SVRD SB                                                                          Austin TX 78757
Theft: All Other Larceny,07/02/2014 12:00:00 AM,50 S 1ST ST                                                                                         Austin TX 78704
Theft,9-Oct-15,5500 BENNETT AVE                                                                                    Austin TX 78751
Theft,24-Aug-16,4630 S LAMAR BLVD SB                                                                                Austin TX 78735
Theft,2-Dec-16,2423 TOWN LAKE CIR                                                                                  Austin TX 78741
Burglary,4-Oct-15,7227 E US 290 HWY SVRD EB                                                                           Austin TX 78723
Theft,28-Jun-16,3116 S CONGRESS AVE                                                                                 Austin TX 78704
Burglary,6-Oct-16,2506 MANOR RD                                                                                       Austin TX 78722
Theft,3-Jul-15,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
Burglary,7-May-16,5812 SWEENEY CIR                                                                                    Austin TX 78723
Theft,9-Jun-16,2606 SAN PEDRO ST                                                                                   Austin TX 78705
Theft,25-Feb-15,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Theft,17-May-16,1420 E ANDERSON LN SVRD WB                                                                          Austin TX 78753
Theft: All Other Larceny,01/19/2014 12:00:00 AM,8102 WEST GATE BLVD                                                                                 Austin TX 78745
Theft: BOV,08/09/2014 12:00:00 AM,E 5TH ST / ATTAYAC ST                                                                               Austin TX 78702
Theft: BOV,05/03/2014 12:00:00 AM,1000 BARTON SPRINGS RD                                                                              Austin TX 78704
Theft: All Other Larceny,04/18/2014 12:00:00 AM,601 E 15TH ST                                                                                       Austin TX 78701
Theft: BOV,12/31/2014 12:00:00 AM,201 LAVACA ST                                                                                       Austin TX 78701
Theft: All Other Larceny,07/08/2014 12:00:00 AM,127 E RIVERSIDE DR                                                                                  Austin TX 78704
Theft,10-Oct-16,2301 S CONGRESS AVE                                                                                 Austin TX 78704
Aggravated Assault,04/26/2014 12:00:00 AM,5612 PALO BLANCO CT                                                                                 Austin TX 78744
Theft,15-Oct-16,2100 BARTON SPRINGS RD                                                                              Austin TX 78746
Theft: All Other Larceny,02/01/2014 12:00:00 AM,8225 N FM 620 RD                                                                                    Austin TX 78726
Theft: All Other Larceny,09/15/2014 12:00:00 AM,5621 N IH 35 NB                                                                                     Austin TX 78723
Theft,25-Mar-16,304 E BEN WHITE BLVD WB                                                                             Austin TX 78704
Theft,16-Dec-16,9900 S IH 35 SVRD SB                                                                                Austin TX 78748
Theft: BOV,09/30/2014 12:00:00 AM,14051 N IH 35 SVRD NB                                                                               Austin TX 78660
Theft,4-Jun-15,3900 N MOPAC EXPY SB                                                                                Austin TX 78731
Theft: BOV,08/11/2014 12:00:00 AM,9503 RESEARCH BLVD NB                                                                               Austin TX 78759
Theft,19-Aug-15,500 CANYON RIDGE DR                                                                                 Austin TX 78753
Burglary,25-Nov-15,4515 SHOAL CREEK BLVD                                                                               Austin TX 78756
Theft: All Other Larceny,09/17/2014 12:00:00 AM,235 CANYON RIDGE DR                                                                                 Austin TX 78753
Theft: Shoplifting,04/19/2014 12:00:00 AM,2453 E SH 71 SVRD WB                                                                                Austin TX 78617
Burglary: Breaking & Entering,02/01/2014 12:00:00 AM,4700 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,20-Aug-15,8100 N CAPITAL OF TEXAS HWY SB                                                                      Austin TX 78750
Theft,14-Dec-15,3201 BEE CAVES RD                                                                                   Austin TX 78746
Theft,4-Mar-15,RAINEY ST / CUMMINGS ST                                                                             Austin TX 78701
Theft,21-Dec-15,12802 LAMPLIGHT VILLAGE AVE                                                                         Austin TX 78727
Theft,25-Feb-15,4801 E OLTORF ST                                                                                    Austin TX 78741
Theft,15-Sep-16,1310 W SLAUGHTER LN                                                                                 Austin TX 78748
Theft,12-Apr-16,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft: from Building,12/12/2014 12:00:00 AM,2936 BARTON SKWY                                                                                    Austin TX 78746
Agg Assault,13-Mar-16,4404 E OLTORF ST                                                                                    Austin TX 78741
Theft,29-Apr-16,10700 LOCH NESS CV                                                                                  Austin TX 78750
Theft: Shoplifting,05/05/2014 12:00:00 AM,2927 GUADALUPE ST                                                                                   Austin TX 78705
Theft,15-Apr-15,4805 BURNET RD                                                                                      Austin TX 78756
Theft,1-Apr-16,3809 S CONGRESS AVE                                                                                 Austin TX 78704
Theft,23-May-16,1819 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,22-Dec-15,715 W 6TH ST                                                                                        Austin TX 78701
Theft,18-Nov-15,501 WALLER ST                                                                                       Austin TX 78702
Theft: Auto Theft,16-Nov-16,600 W WILLIAM CANNON DR                                                                             Austin TX 78745
Theft,15-Oct-16,12433 METRIC BLVD                                                                                   Austin TX 78758
Theft,28-Feb-16,7503 BLUE BEACH CV                                                                                  Austin TX 78759
Theft: All Other Larceny,05/14/2014 12:00:00 AM,1818 S LAKESHORE BLVD                                                                               Austin TX 78741
Theft: BOV,12/17/2014 12:00:00 AM,7507 HILL MEADOW CIR                                                                                Austin TX 78736
Robbery,30-Apr-15,8201 SAM RAYBURN DR                                                                                 Austin TX 78753
Burglary,20-Apr-16,10201 ANNIE OAKLEY TRL                                                                              Austin TX 78753
Theft: All Other Larceny,04/01/2014 12:00:00 AM,10402 LITTLE PEBBLE DR                                                                              Austin TX 78758
Theft: All Other Larceny,10/29/2014 12:00:00 AM,611 TRINITY ST                                                                                      Austin TX 78701
Theft,5-Nov-16,8515 S IH 35 SVRD NB                                                                                Austin TX 78744
Agg Assault,11-Apr-15,8225 N FM 620 RD                                                                                    Austin TX 78726
Theft,8-Dec-15,7200 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft: All Other Larceny,07/15/2014 12:00:00 AM,2601 E 7TH ST                                                                                       Austin TX 78702
Burglary,11-Feb-16,8028 GESSNER DR                                                                                     Austin TX 78753
Burglary: Breaking & Entering,12/15/2014 12:00:00 AM,8405 BENT TREE RD                                                                                   Austin TX 78759
Burglary: Breaking & Entering,07/02/2014 12:00:00 AM,8312 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft: Auto Theft,2-Oct-16,1221 S CONGRESS AVE                                                                                 Austin TX 78704
Theft,9-Nov-16,3102 BERRYLAWN CIR                                                                                  Austin TX 78723
Burglary,7-Apr-15,4902 MANCHACA RD                                                                                    Austin TX 78745
Theft,6-Mar-15,6808 N LAMAR BLVD                                                                                   Austin TX 78757
Theft: All Other Larceny,12/04/2014 12:00:00 AM,13641 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,12-Jul-16,1600 MATTHEWS LN                                                                                    Austin TX 78745
Theft,9-Jul-15,GUADALUPE ST / W 8TH ST                                                                             Austin TX 78701
Theft: All Other Larceny,11/23/2014 12:00:00 AM,11220 FM 2222 RD                                                                                    Austin TX 78726
Burglary: Breaking & Entering,05/12/2014 12:00:00 AM,8227 SUMMER PLACE DR                                                                                Austin TX 78759
Theft: All Other Larceny,07/30/2014 12:00:00 AM,5407 CLAY AVE                                                                                       Austin TX 78756
Theft: Auto Theft,23-Apr-16,2911 GOLDBRIDGE DR                                                                                  Austin TX 78745
Burglary,10-Oct-16,4202 SANTIAGO ST                                                                                    Austin TX 78745
Theft: BOV,10/28/2014 12:00:00 AM,9120 IPSWICH BAY DR                                                                                 Austin TX 78747
Agg Assault,12-Aug-15,1021 GARDNER RD                                                                                     Austin TX 78721
Agg Assault,21-Dec-15,8038 EXCHANGE DR                                                                                    Austin TX 78754
Theft,4-Jul-15,606 E 7TH ST                                                                                        Austin TX 78701
Theft: Auto Theft,08/28/2014 12:00:00 AM,8912 N LAMAR BLVD                                                                                   Austin TX 78758
Theft: Auto Theft,24-Jul-15,8001 S IH 35 SVRD NB                                                                                Austin TX 78744
Burglary,20-Jan-15,2101 TERI RD                                                                                        Austin TX 78744
Theft,11-Oct-15,2001 ROBERT BROWNING ST                                                                             Austin TX 78723
Theft: Shoplifting,04/02/2014 12:00:00 AM,12900 N IH 35 NB                                                                                    Austin TX 78753
Theft: All Other Larceny,08/05/2014 12:00:00 AM,1806 W STASSNEY LN                                                                                  Austin TX 78745
Theft,4-Sep-16,9500 S IH 35 SB                                                                                     Austin TX 78748
Theft,26-Nov-15,3000 SILVERLEAF DR                                                                                  Austin TX 78757
Theft: Auto Theft,03/18/2014 12:00:00 AM,11008 JOLLYVILLE RD                                                                                 Austin TX 78759
Theft,10-Jun-15,3600 PRESIDENTIAL BLVD                                                                              Austin TX 78719
Theft: All Other Larceny,05/13/2014 12:00:00 AM,343 S CONGRESS AVE                                                                                  Austin TX 78704
Theft,17-Aug-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft,18-Feb-15,9436 PARKFIELD DR                                                                                   Austin TX 78758
Burglary,9-Oct-15,3909 GUADALUPE ST                                                                                   Austin TX 78751
Theft: All Other Larceny,09/08/2014 12:00:00 AM,6800 RIVER PLACE BLVD                                                                               Austin TX 78726
Theft: BOV,03/04/2014 12:00:00 AM,BRAZOS ST / E CESAR CHAVEZ ST                                                                       Austin TX 78701
Theft: All Other Larceny,06/10/2014 12:00:00 AM,909 COLORADO ST                                                                                     Austin TX 78701
Theft,8-Oct-15,525 N LAMAR BLVD                                                                                    Austin TX 78703
Theft,28-Jun-16,4415 S IH 35 NB                                                                                     Austin TX 78744
Theft,8-Dec-15,2222 E OLTORF ST                                                                                    Austin TX 78741
Theft: BOV,01/03/2014 12:00:00 AM,401 WOODWARD ST                                                                                     Austin TX 78704
Theft: All Other Larceny,01/03/2014 12:00:00 AM,11135 N IH 35 SVRD NB                                                                               Austin TX 78753
Theft,18-Sep-16,200 GUADALUPE ST                                                                                    Austin TX 78701
Burglary,12-Jan-15,1626 ROYAL HILL DR                                                                                  Austin TX 78741
Theft,30-Apr-15,12515 RESEARCH BLVD NB                                                                              Austin TX 78727
Theft: BOV,07/12/2014 12:00:00 AM,8305 ALUM ROCK DR                                                                                   Austin TX 78747
Theft: Auto Theft,30-Oct-15,8617 FIRESIDE DR                                                                                    Austin TX 78757
Theft,3-Dec-15,1105 N IH 35 SVRD NB                                                                                Austin TX 78702
Murder,25-Jun-16,9034 N IH 35 SVRD SB                                                                                Austin TX 78753
Theft,7-Jan-16,1136 DON ANN ST                                                                                     Austin TX 78721
Theft: BOV,11/10/2014 12:00:00 AM,1304 MARIPOSA DR                                                                                    Austin TX 78704
Robbery,21-Mar-15,1400 NAVASOTA ST                                                                                    Austin TX 78702
Theft,3-Sep-15,5500 MAPLE MARSH CT                                                                                 Austin TX 78744
Theft: BOV,11/26/2014 12:00:00 AM,4510 RAMSEY AVE                                                                                     Austin TX 78756
Aggravated Assault,12/21/2014 12:00:00 AM,6104 DERIDDER CT                                                                                    Austin TX 78744
Theft,14-Oct-15,10101 W PARMER LN                                                                                   Austin TX 78717
Theft,20-Apr-15,7920 ANDERSON SQ                                                                                    Austin TX 78757
Theft,25-Sep-16,3811 E 12TH ST                                                                                      Austin TX 78721
Theft: All Other Larceny,01/18/2014 12:00:00 AM,505 W 22ND ST                                                                                       Austin TX 78705
Agg Assault,19-Feb-15,8079 N LAMAR BLVD NB                                                                                Austin TX 78753
Theft,2-Oct-15,1420 E ANDERSON LN EB                                                                               Austin TX 78752
Theft: All Other Larceny,07/07/2014 12:00:00 AM,211 E 3RD ST                                                                                        Austin TX 78701
Theft,30-Dec-16,8314 NICOLA TRL                                                                                     Austin TX 78745
Theft: BOV,11/02/2014 12:00:00 AM,2504 HUNTWICK DR                                                                                    Austin TX 78741
