Offense_Description,Report_Date,Full_Address
Theft: Shoplifting,12/23/2014 12:00:00 AM,1717 S PLEASANT VALLEY RD                                                                           Austin TX 78741
Theft,6-Jan-15,3311 ESPERANZA XING                                                                                 Austin TX 78758
Theft: BOV,05/20/2014 12:00:00 AM,5701 NIJMEGEN DR                                                                                    Austin TX 78617
Theft,15-Aug-16,12101 DESSAU RD                                                                                     Austin TX 78754
Theft: All Other Larceny,06/16/2014 12:00:00 AM,1230 E 38TH HALF ST                                                                                 Austin TX 78722
Theft,11-Oct-15,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
Theft,22-Jun-15,2306 ROGGE LN                                                                                       Austin TX 78723
Theft,18-Oct-15,1620 RUTLAND DR                                                                                     Austin TX 78758
Burglary,11-Feb-15,3200 RED RIVER ST                                                                                   Austin TX 78705
Burglary: Breaking & Entering,10/29/2014 12:00:00 AM,5010 AVENUE H                                                                                       Austin TX 78751
Theft,25-Sep-15,1905 PATTON LN                                                                                      Austin TX 78723
Theft: All Other Larceny,05/24/2014 12:00:00 AM,7114 N IH 35 SVRD SB                                                                                Austin TX 78752
Theft: All Other Larceny,10/19/2014 12:00:00 AM,2900 CENTURY PARK BLVD                                                                              Austin TX 78727
