,Offense_Description,Report_Date,Full_Address
231,Aggravated Assault,09/29/2014 12:00:00 AM,9601 N IH 35 SVRD NB                                                                                Austin TX 78753
232,Theft: All Other Larceny,10/21/2014 12:00:00 AM,9607 RESEARCH BLVD NB                                                                               Austin TX 78759
233,Theft: Shoplifting,02/08/2014 12:00:00 AM,3230 E MARTIN LUTHER KING JR BLVD                                                                   Austin TX 78723
234,Theft: All Other Larceny,02/12/2014 12:00:00 AM,7451 ONION CREEK DR                                                                                 Austin TX 78744
235,Burglary: Breaking & Entering,12/16/2014 12:00:00 AM,2212 BRISTOL DR                                                                                     Austin TX 78723
236,Theft: BOV,12/09/2014 12:00:00 AM,2017 AMUR DR                                                                                        Austin TX 78745
237,Theft: Shoplifting,06/15/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
238,Burglary: Breaking & Entering,08/27/2014 12:00:00 AM,9705 SYDNEY MARILYN LN                                                                              Austin TX 78748
239,Theft: All Other Larceny,07/06/2014 12:00:00 AM,2707 S IH 35 SVRD NB                                                                                Austin TX 78741
240,Robbery,04/19/2014 12:00:00 AM,2408 CHATEAU VILLAGE WAY                                                                            Austin TX 78744
241,Theft: Shoplifting,03/31/2014 12:00:00 AM,1000 E 41ST ST                                                                                      Austin TX 78751
242,Burglary: Breaking & Entering,08/22/2014 12:00:00 AM,3407 GREYSTONE DR                                                                                   Austin TX 78731
243,Theft: BOV,06/20/2014 12:00:00 AM,12316 ALDERBROOK DR                                                                                 Austin TX 78758
244,Robbery,11/21/2014 12:00:00 AM,1711 RUTLAND DR                                                                                     Austin TX 78758
245,Theft: Auto Theft,09/01/2014 12:00:00 AM,10514 ROBINWOOD CIR                                                                                 Austin TX 78758
246,Theft: BOV,05/08/2014 12:00:00 AM,1704 E 5TH ST                                                                                       Austin TX 78702
247,Theft: Shoplifting,07/15/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
248,Theft: All Other Larceny,12/18/2014 12:00:00 AM,12525 N MOPAC EXPY SVRD NB                                                                          Austin TX 78727
249,Aggravated Assault,02/13/2014 12:00:00 AM,12501 TECH RIDGE BLVD                                                                               Austin TX 78753
251,Theft: All Other Larceny,11/23/2014 12:00:00 AM,1119 ARTHUR STILES RD                                                                               Austin TX 78721
252,Burglary: Breaking & Entering,05/13/2014 12:00:00 AM,2103 CONESTOGA TRL                                                                                  Austin TX 78744
