,Offense_Description,Report_Date,Full_Address
253,Theft: BOV,10/17/2014 12:00:00 AM,7010 W SH 71                                                                                        Austin TX 78735
254,Theft: BOV,01/28/2014 12:00:00 AM,W BRAKER TO MOPAC NB RAMP / N MOPAC EXPY NB                                                         Austin TX 78758
255,Theft: Auto Parts,06/02/2014 12:00:00 AM,2302 E WILLIAM CANNON DR                                                                            Austin TX 78744
256,Theft: All Other Larceny,01/31/2014 12:00:00 AM,8810 TALLWOOD DR                                                                                    Austin TX 78759
257,Theft: Pocket Picking,08/30/2014 12:00:00 AM,7300 CAVE HOLW                                                                                      Austin TX 78750
258,Theft: Shoplifting,01/17/2014 12:00:00 AM,710 E BEN WHITE BLVD WB                                                                             Austin TX 78704
259,Aggravated Assault,10/19/2014 12:00:00 AM,2508 E RIVERSIDE DR                                                                                 Austin TX 78741
260,Theft: BOV,02/01/2014 12:00:00 AM,7020 GRAND CANYON DR                                                                                Austin TX 78752
261,Theft: BOV,01/31/2014 12:00:00 AM,12221 N MOPAC EXPY SVRD NB                                                                          Austin TX 78758
262,Theft: from Building,05/30/2014 12:00:00 AM,1001 W HOWARD LN                                                                                    Austin TX 78753
263,Theft: Auto Theft,04/15/2014 12:00:00 AM,10139 METROPOLITAN DR                                                                               Austin TX 78758
264,Theft: All Other Larceny,03/09/2014 12:00:00 AM,3509 AUTUMN BAY DR                                                                                  Austin TX 78744
265,Theft: All Other Larceny,08/07/2014 12:00:00 AM,1304 MARIPOSA DR                                                                                    Austin TX 78704
266,Theft: BOV,03/27/2014 12:00:00 AM,700 SAN MARCOS ST                                                                                   Austin TX 78702
267,Theft: All Other Larceny,07/15/2014 12:00:00 AM,6103 MANOR RD                                                                                       Austin TX 78723
268,Theft: BOV,07/11/2014 12:00:00 AM,9500 METRIC BLVD                                                                                    Austin TX 78758
269,Theft: BOV,02/03/2014 12:00:00 AM,6303 PEGGY ST                                                                                       Austin TX 78723
270,Theft: BOV,10/09/2014 12:00:00 AM,4608 WINDY BROOK DR                                                                                 Austin TX 78723
271,Burglary: Breaking & Entering,09/17/2014 12:00:00 AM,8413 SLANT OAK DR                                                                                   Austin TX 78729
272,Theft: BOV,04/29/2014 12:00:00 AM,1616 ROYAL CREST DR                                                                                 Austin TX 78741
273,Theft: Shoplifting,02/22/2014 12:00:00 AM,1814 GUADALUPE ST                                                                                   Austin TX 78701
274,Theft: Auto Theft,01/23/2014 12:00:00 AM,4609 COBBLER CV                                                                                     Austin TX 78744
275,Theft: All Other Larceny,07/07/2014 12:00:00 AM,2300 W BEN WHITE BLVD SVRD WB                                                                       Austin TX 78704
276,Theft: Shoplifting,01/11/2014 12:00:00 AM,11600 CENTURY OAKS TER                                                                              Austin TX 78758
277,Theft: BOV,10/25/2014 12:00:00 AM,7800 JOHNNY MORRIS RD                                                                               Austin TX 78724
278,Theft: Shoplifting,12/19/2014 12:00:00 AM,1030 NORWOOD PARK BLVD                                                                              Austin TX 78753
279,Theft: All Other Larceny,04/10/2014 12:00:00 AM,5345 N IH 35 SVRD NB                                                                                Austin TX 78723
280,Theft: BOV,10/18/2014 12:00:00 AM,7623 HIDDEN VIEW CIR                                                                                Austin TX 78724
281,Theft: BOV,10/09/2014 12:00:00 AM,MOPAC CIR / BEE CAVES RD                                                                            Austin TX 78746
282,Theft: Auto Theft,07/18/2014 12:00:00 AM,1607 CANTERBURY ST                                                                                  Austin TX 78702
283,Theft: BOV,01/14/2014 12:00:00 AM,1315 CLEARFIELD DR                                                                                  Austin TX 78758
