PRIMARY_KEY,REP_DATE,REP_TIME,SEX,AGE_AT_OFFENSE,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201531477,1/3/15 00:00,2047,F,31,BLACK,2400 BLOCK W PARMER LN,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126051,10125849,ADAM PD,7
201531511,1/3/15 00:00,2258,M,16,BLACK,1100 NAVASOTA ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119293,10071013,GEORGE,1
201531608,1/3/15 00:00,2136,M,32,BLACK,BOLM RD / PERRY RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3132142,10066972,CHARLIE,3
201531659,1/3/15 00:00,2302,F,25,BLACK,11200 RESEARCH BLVD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112419,10121631,ADAM PD,6
201531711,1/3/15 00:00,2305,M,23,HISPANIC OR LATINO,10205 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129643,10108927,EDWARD,4
201531725,1/3/15 00:00,2225,M,17,HISPANIC OR LATINO,TERI RD / S PLEASANT VALLEY RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114482,10044899,FRANK,2
201531755,1/3/15 00:00,2240,M,30,HISPANIC OR LATINO,2700 E MARTIN LUTHER KING JR BLVD,NO = 2,,,,,3123514,10075739,CHARLIE,1
201531760,1/3/15 00:00,2338,F,23,WHITE,W BRAKER LN / N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131136,10112574,EDWARD,4
201531766,1/3/15 00:00,2248,F,20,HISPANIC OR LATINO,4600 E BEN WHITE BLVD SVRD WB,NO = 2,,,,,3118484,10051585,HENR,3
201531787,1/3/15 00:00,2339,M,50,HISPANIC OR LATINO,6200 BLOCK N IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125215,10091382,IDA,4
201531798,1/4/15 00:00,155,M,26,BLACK,801 E ST JOHNS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126193,10094426,IDA,4
201531800,1/3/15 00:00,2304,F,28,BLACK,MANOR RD / E 51ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131645,10082117,BAKER,1
201531829,1/4/15 00:00,5,M,26,HISPANIC OR LATINO,1009 W DITTMAR RD,NO = 2,,,,,3096392,10039911,FRANK,2
201531856,1/4/15 00:00,205,M,27,BLACK,MANOR RD / BERKMAN DR,YES = 1,,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128100,10078724,BAKER,1
201531860,1/3/15 00:00,2337,M,28,HISPANIC OR LATINO,5905 NUCKOLS CROSSING RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115084,10041246,FRANK,2
201540004,1/4/15 00:00,28,M,27,BLACK,SPRINGDALE RD / E MARTIN LUTHER KING JR BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133150,10077671,CHARLIE,1
